2011-02-02 02:29:24 Notice: Notice (8): Undefined variable: class in [/home/diogo/Develop/Cake13/financeiro/app_controller.php, line 378]
2011-02-02 02:29:59 Notice: Notice (8): Undefined variable: class in [/home/diogo/Develop/Cake13/financeiro/app_controller.php, line 378]
2011-02-02 02:34:18 Notice: Notice (8): Undefined variable: class in [/home/diogo/Develop/Cake13/financeiro/app_controller.php, line 378]
2011-02-02 02:34:46 Notice: Notice (8): Undefined variable: class in [/home/diogo/Develop/Cake13/financeiro/app_controller.php, line 378]
2011-02-02 02:42:03 Notice: Notice (8): Undefined index: bills in [/home/diogo/Develop/Cake13/financeiro/plugins/r_search/views/helpers/r_search.php, line 61]
2011-02-02 02:42:09 Notice: Notice (8): Undefined variable: class in [/home/diogo/Develop/Cake13/financeiro/app_controller.php, line 378]
2011-02-02 02:42:23 Notice: Notice (8): Undefined index: bills in [/home/diogo/Develop/Cake13/financeiro/plugins/r_search/views/helpers/r_search.php, line 61]
2011-02-02 02:43:13 Notice: Notice (8): Undefined index: logs in [/home/diogo/Develop/Cake13/financeiro/plugins/r_search/views/helpers/r_search.php, line 61]
2011-02-02 02:43:27 Notice: Notice (8): Undefined index: logs in [/home/diogo/Develop/Cake13/financeiro/plugins/r_search/views/helpers/r_search.php, line 61]
2011-02-03 02:12:02 Notice: Notice (8): Undefined index: bills in [/home/diogo/Develop/Cake13/financeiro/plugins/r_search/views/helpers/r_search.php, line 61]
2011-02-03 02:17:05 Notice: Notice (8): Undefined index: bills in [/home/diogo/Develop/Cake13/financeiro/plugins/r_search/views/helpers/r_search.php, line 61]
2011-02-04 11:06:03 Notice: Notice (8): Undefined index: bills in [/home/diogo/Develop/Cake13/financeiro/plugins/r_search/views/helpers/r_search.php, line 61]
2011-02-04 11:36:36 Notice: Notice (8): Undefined index: expirity in [/home/diogo/Develop/Cake13/financeiro/controllers/bills_controller.php, line 30]
2011-02-04 11:36:36 Notice: Notice (8): Undefined variable: class in [/home/diogo/Develop/Cake13/financeiro/app_controller.php, line 376]
2011-02-04 11:37:20 Notice: Notice (8): Undefined variable: class in [/home/diogo/Develop/Cake13/financeiro/app_controller.php, line 376]
2011-02-04 11:44:57 Notice: Notice (8): Undefined variable: class in [/home/diogo/Develop/Cake13/financeiro/app_controller.php, line 376]
2011-02-04 11:45:00 Notice: Notice (8): Undefined variable: class in [/home/diogo/Develop/Cake13/financeiro/app_controller.php, line 376]
2011-02-04 11:45:04 Notice: Notice (8): Undefined variable: class in [/home/diogo/Develop/Cake13/financeiro/app_controller.php, line 376]
2011-02-04 13:22:39 Notice: Notice (8): Undefined variable: class in [/home/diogo/Develop/Cake13/financeiro/app_controller.php, line 376]
2011-02-04 13:24:22 Notice: Notice (8): Undefined variable: class in [/home/diogo/Develop/Cake13/financeiro/app_controller.php, line 376]
2011-02-04 13:24:38 Notice: Notice (8): Undefined variable: class in [/home/diogo/Develop/Cake13/financeiro/app_controller.php, line 376]
2011-02-09 16:49:02 Notice: Notice (8): Undefined variable: class in [/home/diogo/Develop/Cake13/financeiro/app_controller.php, line 376]
2011-09-23 14:58:21 Notice: Notice (8): Undefined variable: pass in [/home/dor/Develop/Cake13/financeiro/views/users/login.ctp, line 8]
2011-09-30 13:34:55 Notice: Notice (8): Undefined variable: pass in [/home/dor/Develop/Cake13/birthright/views/users/login.ctp, line 7]
2011-09-30 13:43:46 Notice: Notice (8): Undefined variable: pass in [/home/dor/Develop/Cake13/birthright/views/users/login.ctp, line 7]
2011-09-30 13:44:22 Notice: Notice (8): Undefined variable: pass in [/home/dor/Develop/Cake13/birthright/views/users/login.ctp, line 7]
2011-09-30 13:44:38 Notice: Notice (8): Undefined variable: pass in [/home/dor/Develop/Cake13/birthright/views/users/login.ctp, line 7]
2011-09-30 13:44:48 Notice: Notice (8): Use of undefined constant pass - assumed 'pass' in [/home/dor/Develop/Cake13/birthright/views/users/login.ctp, line 7]
2011-09-30 13:52:22 Notice: Notice (8): Undefined property: DebugView::$pass in [/home/dor/Develop/Cake13/birthright/views/users/login.ctp, line 8]
2011-09-30 13:52:42 Notice: Notice (8): Use of undefined constant pass - assumed 'pass' in [/home/dor/Develop/Cake13/birthright/views/users/login.ctp, line 8]
2011-09-30 14:22:55 Notice: Notice (8): Undefined index: prefix in [/home/dor/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
2011-09-30 14:30:21 Notice: Notice (8): Undefined index: prefix in [/home/dor/Develop/Cake13/birthright/views/elements/buttons.ctp, line 5]
